,name,category_groups_list,country_code,primary_role,homepage_url
53,Kyte,"Media and Entertainment,Mobile,Platforms,Software,Video",CHE,company,http://kyte.de.tl/
243,coComment,"Advertising,Content and Publishing,Media and Entertainment,Sales and Marketing",CHE,company,http://www.cocomment.com
651,lastminute.com group,"Internet Services,Travel and Tourism",CHE,company,http://www.lastminutegroup.com
1441,Zattoo,"Content and Publishing,Internet Services,Media and Entertainment,Video",CHE,company,https://zattoo.com/de/
1610,Ads Click,"Advertising,Content and Publishing,Media and Entertainment,Mobile,Sales and Marketing",CHE,company,http://www.gamevibe.cf
1835,United Mobile,"Internet Services,Mobile,Travel and Tourism",CHE,company,http://www.united-mobile.com
2262,ASMALLWORLD,"Community and Lifestyle,Internet Services,Media and Entertainment",CHE,company,http://www.asmallworld.com/login
2597,Volagratis,"Media and Entertainment,Travel and Tourism",CHE,company,http://www.volagratis.com/vg1/home.do
3082,XIHA,"Community and Lifestyle,Content and Publishing,Education,Internet Services,Media and Entertainment,Other",CHE,company,http://www.xihalife.com
3226,sobees,"Apps,Community and Lifestyle,Software",CHE,company,http://www.sobees.com
3493,Zong,"Financial Services,Gaming,Mobile,Payments,Software",CHE,company,http://www.zong.com
4504,Day Software,"Apps,Sales and Marketing,Software",CHE,company,http://www.day.com
4550,mpw Technologies,"Apps,Commerce and Shopping,Media and Entertainment,Mobile,Platforms,Software,Video",CHE,company,http://www.mpw.mobi
4777,NetNetNet.TV,"Advertising,Sales and Marketing",CHE,company,http://www.netnetnet.tv
5248,littlehint.com,"Community and Lifestyle,Events,Internet Services,Media and Entertainment",CHE,company,http://www.littlehint.com
5491,Dixero International SA,"Content and Publishing,Media and Entertainment,Music and Audio,Software,Video",CHE,company,http://www.dixero.com
5495,Acronis,"Hardware,Information Technology,Internet Services,Other,Privacy and Security,Software",CHE,company,http://www.acronis.com/
5550,Sketchin,Design,CHE,company,http://www.sketchin.ch
5686,Oliomap,Software,CHE,company,http://www.oliomap.com
5843,MisterContact,Travel and Tourism,CHE,company,http://www.MisterContact.com
5929,Adecco,"Administrative Services,Professional Services",CHE,company,http://www.adecco.com
6029,PUDGIN,Commerce and Shopping,CHE,company,http://www.pudgin.com
6253,Flexbit,"Professional Services,Software",CHE,company,http://www.flexbit.com
6462,AtBizz,"Commerce and Shopping,Internet Services,Media and Entertainment",CHE,company,http://www.atbizz.com
6491,Amazee Group,"Administrative Services,Advertising,Clothing and Apparel,Commerce and Shopping,Design,Internet Services,Other,Sales and Marketing,Software",CHE,company,http://www.amazee.com
6654,Cassiber,"Internet Services,Other,Professional Services",CHE,company,http://www.cassiber.com
6767,Wuala,"Hardware,Software",CHE,company,http://wuala.com
6855,GenePartner,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://genepartner.com
6906,Holistis,"Data and Analytics,Software",CHE,company,http://www.holistis.com
7192,Doodle,"Internet Services,Messaging and Telecommunications,Other,Software",CHE,company,http://www.doodle.com
7217,Le Decodeur,"Information Technology,Privacy and Security,Professional Services",CHE,company,https://www.ledecodeur.ch
7530,Millform (Gbanga),"Data and Analytics,Gaming,Hardware,Internet Services,Mobile,Navigation and Mapping,Software",CHE,company,http://www.gbanga.com
8495,Advanced Power AG,"Energy,Sustainability",CHE,company,http://www.advancedpower.ch
8566,ColorPlaza,"Internet Services,Media and Entertainment",CHE,company,
8567,flauntR,"Content and Publishing,Media and Entertainment",CHE,company,http://www.flauntr.com
8568,FotoDesk,"Content and Publishing,Internet Services,Media and Entertainment",CHE,company,http://www.fotodesk.com
8745,official.fm,"Internet Services,Media and Entertainment,Music and Audio",CHE,company,http://official.fm
